station_id,date,temperature,precipitation
1,2024-01-01,-32.1,2.1
1,2024-01-02,-29.5,0.0
1,2024-01-03,-35.8,1.5
1,2024-01-04,-28.0,0.0
1,2024-07-01,-4.2,0.0
1,2024-07-02,-3.8,0.5
1,2024-07-03,-2.1,0.0
1,2024-07-04,-5.0,1.2
2,2024-01-01,14.2,12.3
2,2024-01-02,15.6,0.0
2,2024-01-03,13.9,3.2
2,2024-01-04,16.1,0.0
2,2024-07-01,22.8,0.0
2,2024-07-02,24.1,0.0
2,2024-07-03,23.5,0.0
2,2024-07-04,21.9,1.1
3,2024-01-01,18.5,0.0
3,2024-01-02,20.2,0.0
3,2024-01-03,17.9,0.0
3,2024-01-04,19.4,0.0
3,2024-07-01,41.5,0.0
3,2024-07-02,43.2,0.0
3,2024-07-03,38.9,0.0
3,2024-07-04,44.8,0.0
